ASX Code,Company Name,Sub-Industry
IBUY,BetaShares Online Retail and E-Commerce ETF,N/A
IBX,Imagion Biosystems Limited Ordinary,Advanced Medical Equipment & Technology
ICE,Icetana Limited Ordinary,IT Services & Consulting
ICGOD,Inca Minerals Limited $0.03 Option Expiring 31-Dec-2024,Specialty Mining & Metals
ICG,Inca Minerals Limited Ordinary,Specialty Mining & Metals
ICGOE,Inca Minerals Limited $0.08 Option Expiring 31-Dec-2026,Specialty Mining & Metals
ICGOF,Inca Minerals Limited $0.04 Option Expiring 31-Dec-2025,Specialty Mining & Metals
ICI,Icandy Interactive Limited Ordinary,Software
ICL,Iceni Gold Limited Ordinary,Gold
ICOR,iShares Core Corporate Bond ETF,N/A
ICN,Icon Energy Limited Ordinary,Oil & Gas Exploration and Production
ICR,Intelicare Holdings Limited Ordinary,Semiconductors
ICRO,Intelicare Holdings Limited $0.05 Option Expiring 19-Dec-2025,Semiconductors
ICU,Investor Centre Limited Ordinary,"Financial, Commodity Market Ops & Svc"
ID8,Identitii Limited Ordinary,Software
ID8O,Identitii Limited $0.08 Option Expiring 29-Dec-2024,Software
IDA,Indiana Resources Limited Ordinary,Gold
IDX,Integral Diagnostics Limited Ordinary,Healthcare Facilities & Services
IDT,IDT Australia Limited Ordinary,Biotechnology & Medical Research
IEAT,BetaShares Future of Food ETF,N/A
IEL,IDP Education Limited Ordinary,Professional & Business Education
IEC,Intra Energy Corporation Limited Ordinary,Coal
IEM,iShares MSCI Emerging Markets ETF,N/A
IEQ,International Equities Corporation Limited Ordinary,Real Estate Services
IEU,iShares Europe ETF,N/A
IESG,iShares Core MSCI Australia ESG ETF,N/A
IFL,Insignia Financial Ltd Ordinary,Investment Management & Fund Operators
IFRA,Vaneck FTSE Global Infrastructure (Hedged) ETF,N/A
IFM,Infomedia Ltd Ordinary,Software
IFT,Infratil Limited Ordinary Foreign Exempt NZX,Investment Management & Fund Operators
IG6,International Graphite Limited Ordinary,Specialty Mining & Metals
IGB,iShares Treasury ETF,N/A
IGL,IVE Group Limited Ordinary,Advertising & Marketing
IGN,Ignite Limited Ordinary,Employment Services
IGO,IGO Limited Ordinary,Specialty Mining & Metals
IGRO,iShares High Growth ESG ETF,N/A
IHCB,iShares Core Global Corporate Bond(AUD Hedged) ETF,N/A
IHD,iShares S&P/ASX DIV Opportunities ESG Screened ETF,N/A
IHEB,iShares J.P. Morgan USD Emerging Markets (AUD Hedged) ETF,N/A
IHHY,iShares Global High Yield Bond (AUD Hedged) ETF,N/A
IHOO,iShares Global 100 AUD Hedged ETF,N/A
IHVV,iShares S&P 500 AUD Hedged ETF,N/A
IHWL,iShares Core MSCI World EX AUS ESG (AUD HED) ETF,N/A
IIGF,Intelligent Investor Aus Equity Growth Fund (Managed Fund) ETF,N/A
IIND,BetaShares India Quality ETF. ETF,N/A
IISV,Intell Invest Select Value SHR Fund (Managed Fund) ETF,N/A
IIQ,Inoviq Ltd Ordinary,Biotechnology & Medical Research
IJH,iShares S&P MID-Cap ETF,N/A
IJP,iShares MSCI Japan ETF,N/A
IJR,iShares S&P Small-Cap ETF,N/A
IKE,Ikegps Group Limited Ordinary Foreign Exempt NZX,Industrial Machinery & Equipment
IKO,iShares MSCI South Korea ETF,N/A
ILAO,Island Pharmaceuticals Limited $0.06 Option Expiring 14-Mar-2025,Biotechnology & Medical Research
ILB,iShares Government Inflation ETF,N/A
ILA,Island Pharmaceuticals Limited Ordinary,Biotechnology & Medical Research
ILC,iShares S&P/ASX 20 ETF,N/A
ILT,Iltani Resources Limited Ordinary,Integrated  Mining
IMA,Image Resources NL Ordinary,Integrated  Mining
ILU,Iluka Resources Limited Ordinary,Specialty Mining & Metals
IMC,Immuron Limited Ordinary,Pharmaceuticals
IMB,Intelligent Monitoring Group Limited Ordinary,Business Support Services
IMD,Imdex Limited Ordinary,Mining Support Services & Equipment
IME,Imexhs Limited Ordinary,Advanced Medical Equipment & Technology
IMI,Infinity Mining Limited Ordinary,Integrated  Mining
IMLC,IML Conc AUS Shares Fund (Quoted Managed Fund) ETF,N/A
IMIO,Infinity Mining Limited $0.20 Option Expiring 19-Sep-2024,Integrated  Mining
IMPQ,Perennial Better Future Fund (Managed Fund) ETF,N/A
IMM,Immutep Limited Ordinary,Biotechnology & Medical Research
IMR,Imricor Medical Systems Inc. CDI 1:1 US Person Prohibited Excluding QIB,Advanced Medical Equipment & Technology
IMUOD,Imugene Limited $0.45 Option Expiring 31-Aug-2024,Biotechnology & Medical Research
IMU,Imugene Limited Ordinary,Biotechnology & Medical Research
IMUOE,Imugene Limited $0.12 Option Expiring 31-Aug-2026,Biotechnology & Medical Research
INA,Ingenia Communities Group Ordinary/Units Stapled Securities,"Real Estate Rental, Devel & Operations"
IND,Industrial Minerals Ltd Ordinary,Agricultural Chemicals
INCM,BetaShares Global Income Leaders ETF,N/A
INES,Intelligent Investor Ethical Share Fund (Managed Fund) ETF,N/A
INF,Infinity Lithium Corporation Limited Ordinary,Specialty Mining & Metals
ING,Inghams Group Limited Ordinary,Fishing & Farming
INIF,Intelligent Investor Aus Equity Income Fund (Managed Fund) ETF,N/A
INP,Incentiapay Limited Ordinary,Financial Technology (Fintech)
INL,Innlanz Limited Ordinary,Other Specialty Retailers
INR,Ioneer Ltd Ordinary,Specialty Mining & Metals
INV,Investsmart Group Limited Ordinary,Investment Management & Fund Operators
IOD,Iodm Limited Ordinary,Software
ION,Iondrive Limited Ordinary,Gold
IOZ,iShares Core S&P/ASX 200 ETF,N/A
IPAY,BetaShares Future of Payments ETF,N/A
IOO,iShares Global 100 ETF,N/A
IPB,IPB Petroleum Limited Ordinary,Oil & Gas Exploration and Production
IPC,Imperial Pacific Limited Ordinary,Investment Management & Fund Operators
IPD,Impedimed Limited Ordinary,Advanced Medical Equipment & Technology
IPG,IPD Group Ltd Ordinary,Electrical Components & Equipment
IPH,IPH Limited Ordinary,Business Support Services
IPL,Incitec Pivot Limited Ordinary,Diversified Chemicals
IPTOB,Impact Minerals Limited $0.02 Option Expiring 02-Jun-2024,Integrated  Mining
IPT,Impact Minerals Limited Ordinary,Integrated  Mining
IPX,Iperionx Limited Ordinary,Specialty Mining & Metals
IR1,Iris Metals Limited Ordinary,Integrated  Mining
IRD,Iron Road Limited Ordinary,Steel
IRE,Iress Limited Ordinary,Financial Technology (Fintech)
IRI,Integrated Research Limited Ordinary,Software
IRX,Inhalerx Limited Ordinary,Software
IS3,I Synergy Group Limited Ordinary,Advertising & Marketing
ISEC,iShares Enhanced Cash ETF,N/A
ISLM,Hejaz Equities Fund (Managed Fund) ETF,N/A
ITEK,iShares Future Tech Innovators ETF,N/A
ISO,iShares S&P/ASX Small Ordinaries ETF,N/A
ITM,Itech Minerals Ltd Ordinary,Integrated  Mining
IUSG,iShares U.S. Treasury Bond (AUD Hedged) ETF,N/A
IVE,iShares MSCI Eafe ETF,N/A
IVR,Investigator Resources Ltd Ordinary,Integrated  Mining
IVRO,Investigator Resources Ltd $0.06 Option Expiring 08-Mar-2025,Integrated  Mining
IVT,Inventis Limited Ordinary,Business Support Supplies
IVV,iShares S&P 500 ETF,N/A
IVX,Invion Limited Ordinary,Biotechnology & Medical Research
IVZOA,Invictus Energy Ltd $0.20 Option Expiring 07-Jun-2026,Oil & Gas Exploration and Production
IVZ,Invictus Energy Ltd Ordinary,Oil & Gas Exploration and Production
IXC,Invex Therapeutics Ltd Ordinary,Biotechnology & Medical Research
IWLD,iShares Core MSCI World EX Australia ESG ETF,N/A
IXI,iShares Global Consumer Staples ETF,N/A
IXJ,iShares Global Healthcare ETF,N/A
IXU,Ixup Limited Ordinary,Software
IXR,Ionic Rare Earths Limited Ordinary,Precious Metals & Minerals
IYLD,iShares Yield Plus ETF,N/A
IZZ,iShares China Large-Cap ETF,N/A
JAL,Jameson Resources Limited Ordinary,Coal
JAN,Janison Education Group Limited Ordinary,Online Services
JAT,Jatcorp Limited Ordinary,Food Retail & Distribution
JATO,Jatcorp Limited $0.96 Option Expiring 24-Aug-2024,Food Retail & Distribution
JAV,Javelin Minerals Limited Ordinary,Integrated  Mining
JAVO,Javelin Minerals Limited $0.03 Option Expiring 31-Dec-2024,Integrated  Mining
JAVOA,Javelin Minerals Limited $0.00 Option Expiring 31-Dec-2028,Integrated  Mining
JAY,Jayride Group Limited Ordinary,Leisure & Recreation
JBH,JB HI-FI Limited Ordinary,Computers & Electronics Retailers
JBY,James Bay Minerals Limited Ordinary,Specialty Mining & Metals
JCS,Jcurve Solutions Ltd Ordinary,IT Services & Consulting
JDOPA,Judo Capital Holdings Limited Cap Note 3-Bbsw+6.50% Perp non-CUM Red T-02-29,Banks
JEPI,JP Morgan EQ Prem Income Active ETF (Managed Fund) ETF,N/A
JDO,Judo Capital Holdings Limited Ordinary,Banks
JGH,Jade Gas Holdings Limited Ordinary,Oil & Gas Exploration and Production
JHPI,JPM Eqty Prem Inc H Active ETF (Managed Fund) ETF,N/A
JHX,James Hardie Industries PLC CDI 1:1,Construction Materials
JIN,Jumbo Interactive Limited Ordinary,Casinos & Gaming
JLG,Johns Lyng Group Limited Ordinary,Construction & Engineering
JMS,Jupiter Mines Limited Ordinary,Specialty Mining & Metals
JNDQ,BetaShares NASDAQ Next GEN 100 ETF,N/A
JLL,Jindalee Lithium Limited Ordinary,Integrated  Mining
JNO,Juno Minerals Limited Ordinary,Steel
JPEQ,JPM Us100q EQ Prem Inc Active ETF (Managed Fund) ETF,N/A
JPHQ,JPM Us100q EQ Prem Inc H Active ETF (Managed Fund) ETF,N/A
JPSI,JP Morgan Sustain Infra Active ETF (Managed Fund) ETF,N/A
JPR,Jupiter Energy Limited Ordinary,Oil & Gas Exploration and Production
JREG,JP Morgan GL Res EN IN EQ Active ETF (Managed Fund) ETF,N/A
JRHG,JP Morgan GL RE EN IN EQH Active ETF (Managed Fund) ETF,N/A
JTL,Jayex Technology Limited Ordinary,Advanced Medical Equipment & Technology
JRV,Jervois Global Limited Ordinary,Specialty Mining & Metals
JZRO,Janus Hdrsn ZR Trans Res Active ETF (Managed Fund) ETF,N/A
JYC,Joyce Corporation Ltd Ordinary,Home Furnishings Retailers
K2F,K2FLY Limited Ordinary,Software
KAL,Kalgoorlie Gold Mining Limited Ordinary,Gold
KAI,Kairos Minerals Limited Ordinary,Gold
KAM,K2 Asset Management Holdings Ltd Ordinary,Investment Management & Fund Operators
KAR,Karoon Energy Ltd Ordinary,Oil & Gas Exploration and Production
KAT,Katana Capital Limited Ordinary,Investment Management & Fund Operators
KATO,Katana Capital Limited $1.25 Option Expiring 20-Aug-2025,Investment Management & Fund Operators
KBC,Keybridge Capital Limited Ordinary,Investment Management & Fund Operators
KAU,Kaiser Reef Limited Ordinary,Gold
KCC,Kincora Copper Limited CDI 1:1,Integrated  Mining
KCN,Kingsgate Consolidated Limited Ordinary,Gold
KDY,Kaddy Limited Ordinary,IT Services & Consulting
KED,Keypath Education International Inc. CDI 1:1 US Person Prohibited Excluding QIB,Online Services
KEY,Key Petroleum Limited Ordinary,Oil & Gas Exploration and Production
KFM,Kingfisher Mining Ltd Ordinary,Integrated  Mining
KFMO,Kingfisher Mining Ltd $0.70 Option Expiring 30-May-2025,Integrated  Mining
KGD,Kula Gold Limited Ordinary,Gold
KGN,Kogan.Com Ltd Ordinary,Department Stores
KGL,KGL Resources Limited Ordinary,Integrated  Mining
KIN,KIN Mining NL Ordinary,Integrated  Mining
KKC,KKR Credit Income Fund Ordinary Units,Closed End Funds
KKO,Kinetiko Energy Ltd Ordinary,Oil & Gas Exploration and Production
KLI,Killi Resources Limited Ordinary,Gold
KLL,Kalium Lakes Limited Ordinary,Agricultural Chemicals
KM1,Kali Metals Limited Ordinary,Specialty Mining & Metals
KLR,Kaili Resources Limited 125c Ordinary,Coal
KLS,Kelsian Group Limited Ordinary,"Passenger Transportation, Ground & Sea"
KMD,KMD Brands Limited Ordinary Foreign Exempt NZX,Other Specialty Retailers
KNB,Koonenberry Gold Limited Ordinary,Gold
KME,Kip McGrath Education Centres Limited Ordinary,Misc Educational Service Providers
KNG,Kingsland Minerals Ltd Ordinary,Gold
KNGO,Kingsland Minerals Ltd $0.25 Option Expiring 31-Oct-2026,Gold
KNI,Kuniko Limited Ordinary,Integrated  Mining
KNM,Kneomedia Limited Ordinary,Software
KOB,Koba Resources Limited Ordinary,Specialty Mining & Metals
KNO,Knosys Limited Ordinary,Software
KOR,Korab Resources Limited Ordinary,Integrated  Mining
KP2,Kore Potash PLC CDI 1:1,Agricultural Chemicals
KOV,Korvest Ltd Ordinary,Industrial Machinery & Equipment
KPG,Kelly Partners Group Holdings Limited Ordinary,Business Support Services
KPO,Kalina Power Limited Ordinary,Investment Management & Fund Operators
KRR,King River Resources Limited Ordinary,Gold
KRM,Kingsrose Mining Limited Ordinary,Integrated  Mining
KSL,Kina Securities Limited Ordinary,Banks
KSM,K2 Australian Small Cap Fund (Hedge Fund) ETF,N/A
KSC,K&S Corporation Limited Ordinary,Ground Freight & Logistics
KTA,Krakatoa Resources Limited Ordinary,Gold
KSN,Kingston Resources Limited Ordinary,Integrated  Mining
KTG,K-TIG Limited Ordinary,Industrial Machinery & Equipment
KYP,Kinatico Ltd Ordinary,Employment Services
L1IF,L1 Capital International Fund (Managed Fund) ETF,N/A
KZR,Kalamazoo Resources Limited Ordinary,Integrated  Mining
L1M,Lightning Minerals Ltd Ordinary,Integrated  Mining
L1MO,Lightning Minerals Ltd $0.25 Option Expiring 13-Mar-2028,Integrated  Mining
LAM,Laramide Resources Ltd CDI 1:1,Uranium
LAU,Lindsay Australia Limited Ordinary,Ground Freight & Logistics
LBL,Laserbond Limited Ordinary,Mining Support Services & Equipment
LAW,Lawfinance Limited Ordinary,Corporate Financial Services
LBT,LBT Innovations Limited Ordinary,Biotechnology & Medical Research
LBTO,LBT Innovations Limited $0.01 Option Expiring 15-Sep-2024,Biotechnology & Medical Research
LBTOA,LBT Innovations Limited $0.01 Option Expiring 15-Nov-2025,Biotechnology & Medical Research
LCE,London City Equities Limited Ordinary,Investment Management & Fund Operators
LCLO,LCL Resources Limited $0.03 Option Expiring 11-Feb-2026,Integrated  Mining
LCL,LCL Resources Limited Ordinary,Integrated  Mining
LCY,Legacy Iron Ore Limited Ordinary,Integrated  Mining
LDR,Lode Resources Ltd Ordinary,Gold
LDRO,Lode Resources Ltd $0.24 Option Expiring 25-Aug-2024,Gold
LDX,Lumos Diagnostics Holdings Limited Ordinary,"Medical Equipment, Supplies & Dist'n"
LEL,Lithium Energy Limited Ordinary,Specialty Mining & Metals
LEG,Legend Mining Limited Ordinary,Integrated  Mining
LEND,Vaneck Glbl Listed Private Credit (AUD Hedged) ETF,N/A
LEX,Lefroy Exploration Limited Ordinary,Gold
LFS,Latitude Group Holdings Limited Ordinary,Consumer Lending
LFG,Liberty Financial Group Ordinary/Units Stapled Securities,Consumer Lending
LFSPA,Latitude Group Holdings Limited Cap Note 3-Bbsw+4.75% Perp non-CUM Red T-10-26,Consumer Lending
LGI,LGI Limited Ordinary,Renewable Fuels
LGM,Legacy Minerals Holdings Limited Ordinary,Gold
LGL,Lynch Group Holdings Limited Ordinary,Other Specialty Retailers
LGMO,Legacy Minerals Holdings Limited $0.20 Option Expiring 22-Jan-2026,Gold
LGP,Little Green Pharma Ltd Ordinary,Pharmaceuticals
LHM,Land & Homes Group Limited Ordinary,"Real Estate Rental, Devel & Operations"
LIC,Lifestyle Communities Limited Ordinary,"Real Estate Rental, Devel & Operations"
LIN,Lindian Resources Limited Ordinary,Aluminum
LIO,Lion Energy Limited Ordinary,Oil & Gas Exploration and Production
LIOOA,Lion Energy Limited $0.12 Option Expiring 19-Jul-2024,Oil & Gas Exploration and Production
LIS,Li-S Energy Limited Ordinary,Electrical Components & Equipment
LIT,Lithium Australia Limited Ordinary,Specialty Mining & Metals
LITOB,Lithium Australia Limited $0.10 Option Expiring 19-Oct-2025,Specialty Mining & Metals
LITOA,Lithium Australia Limited $0.05 Option Expiring 28-Feb-2025,Specialty Mining & Metals
LKE,Lake Resources NL Ordinary,Specialty Mining & Metals
LKO,Lakes Blue Energy NL Ordinary,Oil & Gas Exploration and Production
LKY,Locksley Resources Limited Ordinary,Integrated  Mining
LLI,Loyal Lithium Limited Ordinary,Specialty Mining & Metals
LLC,Lendlease Group Ordinary/Units Stapled Securities,"Real Estate Rental, Devel & Operations"
LLL,LEO Lithium Limited Ordinary,Specialty Mining & Metals
LLO,Lion One Metals Limited CDI 1:1,Gold
LM1,Leeuwin Metals Ltd Ordinary,Integrated  Mining
LM8,Lunnon Metals Limited Ordinary,Integrated  Mining
LMG,Latrobe Magnesium Limited Ordinary,Specialty Mining & Metals
LML,Lincoln Minerals Limited Ordinary,Integrated  Mining
LNAS,Global X Ultra Long Nasdaq-100 Hedge Fund ETF,N/A
LMS,Litchfield Minerals Limited Ordinary,Integrated  Mining
LNK,Link Administration Holdings Limited Ordinary,Business Support Services
LNR,Lanthanein Resources Ltd Ordinary,Integrated  Mining
LNRO,Lanthanein Resources Ltd $0.03 Option Expiring 31-Dec-2024,Integrated  Mining
LNU,Linius Technologies Limited Ordinary,Software
LNW,Light & Wonder Inc. CDI 1:1 Foreign Exempt Xngs,N/A
LOM,Lucapa Diamond Company Limited Ordinary,Precious Metals & Minerals
LOT,Lotus Resources Limited Ordinary,Uranium
LOV,Lovisa Holdings Limited Ordinary,Apparel & Accessories Retailers
LPDO,Lepidico Ltd $0.03 Option Expiring 04-Nov-2024,Specialty Mining & Metals
LPD,Lepidico Ltd Ordinary,Specialty Mining & Metals
LPE,Locality Planning Energy Holdings Limited Ordinary,Electric Utilities
LPGD,Loftus Peak Global Disruption Fund (Managed Fund) ETF,N/A
LPM,Lithium Plus Minerals Ltd. Ordinary,Specialty Mining & Metals
LRD,Lord Resources Limited Ordinary,Integrated  Mining
LRDO,Lord Resources Limited $0.25 Option Expiring 31-Jan-2027,Integrated  Mining
LRS,Latin Resources Limited Ordinary,Integrated  Mining
LRK,Lark Distilling Co. Ltd Ordinary,Distillers & Wineries
LRL,Labyrinth Resources Limited Ordinary,Gold
LRV,Larvotto Resources Limited Ordinary,Gold
LRT,Lowell Resources Fund Ordinary Units,Investment Management & Fund Operators
LRVO,Larvotto Resources Limited $0.30 Option Expiring 01-Dec-2024,Gold
LSA,Lachlan Star Limited Ordinary,Gold
LSGE,Loomis Sayles Global EQ Fund (Quoted Managed Fund) ETF,N/A
LSF,L1 Long Short Fund Limited Ordinary,Diversified Investment Services
LSR,Lodestar Minerals Limited Ordinary,Integrated  Mining
LSX,Lion Selection Group Limited Ordinary,Integrated  Mining
LTM,Arcadium Lithium PLC CDI 1:1 Foreign Exempt NYSE,N/A
LTP,LTR Pharma Limited Ordinary,Biotechnology & Medical Research
LTR,Liontown Resources Limited Ordinary,Specialty Mining & Metals
LU7,Lithium Universe Limited Ordinary,Specialty Mining & Metals
LV1OA,Live Verdure Ltd $0.25 Option Expiring 31-Aug-2025,Food Processing
LV1,Live Verdure Ltd Ordinary,Food Processing
LVH,Livehire Limited Ordinary,Software
LVE,Love Group Global Ltd Ordinary,Online Services
LVT,Livetiles Limited Ordinary,Software
LYC,Lynas Rare Earths Limited Ordinary,Precious Metals & Minerals
LYKOA,Lykos Metals Limited $0.30 Option Expiring 11-Jun-2025,Integrated  Mining
LYK,Lykos Metals Limited Ordinary,Integrated  Mining
LYN,Lycaon Resources Ltd Ordinary,Gold
LYL,Lycopodium Limited Ordinary,Construction & Engineering
M24,Mamba Exploration Limited Ordinary,Integrated  Mining
M2M,Mt Malcolm Mines NL Ordinary,Gold
M2MO,Mt Malcolm Mines NL $0.07 Option Expiring 31-Dec-2025,Gold
M2R,Miramar Resources Limited Ordinary,Gold
M3M,M3 Mining Limited Ordinary,Integrated  Mining
M2RO,Miramar Resources Limited $0.25 Option Expiring 18-Jul-2024,Gold
M4M,Macro Metals Limited Ordinary,Steel
M4MOB,Macro Metals Limited $0.02 Option Expiring 31-Dec-2024,Steel
M7T,Mach7 Technologies Limited Ordinary,Advanced Medical Equipment & Technology
M8S,M8 Sustainable Limited Ordinary,Environmental Services & Equipment
MAAT,Monash Investors SML Companies Trust (Hedge Fund) ETF,N/A
MAC,Metals Acquisition Limited CDI 1:1,N/A
MAD,Mader Group Limited Ordinary,Business Support Services
MAET,Munro Global Growth Fund (Hedge Fund) ETF,N/A
MAF,MA Financial Group Limited Ordinary,Investment Management & Fund Operators
MAG,Magmatic Resources Limited Ordinary,Integrated  Mining
MAM,Microequities Asset Management Group Limited Ordinary,Investment Management & Fund Operators
MAH,Macmahon Holdings Limited Ordinary,Mining Support Services & Equipment
MAN,Mandrake Resources Limited Ordinary,Gold
MAP,Microba Life Sciences Limited Ordinary,Healthcare Facilities & Services
MAQ,Macquarie Technology Group Limited Ordinary,IT Services & Consulting
MAT,Matsa Resources Limited Ordinary,Gold
MAU,Magnetic Resources NL Ordinary,Integrated  Mining
MAUCA,"Magnetic Resources NL Ordinary Partly Paid NIL, 20c Unpaid",Integrated  Mining
MBH,Maggie Beer Holdings Ltd Ordinary,Other Specialty Retailers
MAY,Melbana Energy Limited Ordinary,Oil & Gas Exploration and Production
MBK,Metal Bank Limited Ordinary,Gold
MBLPC,Macquarie Bank Limited Cap Note 3-Bbsw+4.70% Perp non-CUM Red T-12-25,Banks
MBLPD,Macquarie Bank Limited Cap Note 3-Bbsw+2.90% Perp non-CUM Red T-09-28,Banks
MBX,My Foodie BOX Limited Ordinary,Food Processing
MCCL,Munro Climate Change Leaders Fund (Managed Fund) ETF,N/A
MCA,Murray COD Australia Limited Ordinary,Fishing & Farming
MCGG,Munro Concentrated Global Growth (Managed Fund) ETF,N/A
MCE,Matrix Composites & Engineering Limited Ordinary,Oil Related Services and Equipment
MCL,Mighty Craft Limited Ordinary,Brewers
MCM,MC Mining Limited Ordinary,Coal
MCP,McPherson's Limited Ordinary,Personal Products
MCTOA,Metalicity Limited $0.01 Option Expiring 01-Jun-2024,Integrated  Mining
MCT,Metalicity Limited Ordinary,Integrated  Mining
MCY,Mercury NZ Limited Ordinary Foreign Exempt NZX,Electric Utilities
MDC,Medlab Clinical Limited Ordinary,Biotechnology & Medical Research
MDI,Middle Island Resources Limited Ordinary,Gold
MDR,Medadvisor Limited Ordinary,Advanced Medical Equipment & Technology
ME1,Melodiol Global Health Limited Ordinary,Pharmaceuticals
MDX,Mindax Limited Ordinary,Integrated  Mining
ME1O,Melodiol Global Health Limited $5.00 Option Expiring 02-Nov-2024,Pharmaceuticals
ME1OE,Melodiol Global Health Limited $0.12 Option Expiring 13-Nov-2028,Pharmaceuticals
ME1OD,Melodiol Global Health Limited $1.60 Option Expiring 31-Jan-2027,Pharmaceuticals
MEA,McGrath Limited Ordinary,Real Estate Services
MEC,Morphic Ethical Equities Fund Limited Ordinary,Investment Management & Fund Operators
MEG,Megado Minerals Ltd Ordinary,Gold
MEI,Meteoric Resources NL Ordinary,Integrated  Mining
MEK,Meeka Metals Limited Ordinary,Gold
MEL,Metgasco Ltd Ordinary,Oil & Gas Exploration and Production
MELOB,Metgasco Ltd $0.04 Option Expiring 10-Dec-2024,Oil & Gas Exploration and Production
MEM,Memphasys Limited Ordinary,Advanced Medical Equipment & Technology
MEU,Marmota Limited Ordinary,Integrated  Mining
MEZ,Meridian Energy Limited Ordinary Foreign Exempt NZX,Electric Utilities
MFD,Mayfield Childcare Limited Ordinary,Personal Services
MFF,MFF Capital Investments Limited Ordinary,Investment Management & Fund Operators
MFG,Magellan Financial Group Limited Ordinary,Investment Management & Fund Operators
MFGO,Magellan Financial Group Limited $35.00 Option Expiring 16-Apr-2027,Investment Management & Fund Operators
MFOA,Milford Australian Absolute Growth (Hedge Fund) ETF,N/A
MGA,Metalsgrove Mining Ltd Ordinary,Specialty Mining & Metals
MGF,Magellan Global Fund. Ordinary Units Closed Class,Closed End Funds
MGH,Maas Group Holdings Limited Ordinary,Construction & Engineering
MGOC,Magellan Global Fund (Open Class) (Managed Fund) ETF,N/A
MGL,Magontec Limited Ordinary,Specialty Mining & Metals
MGR,Mirvac Group Ordinary/Units Stapled Securities,Diversified REITs
MGT,Magnetite Mines Limited Ordinary,Integrated  Mining
MGTO,Magnetite Mines Limited $0.45 Option Expiring 23-May-2025,Integrated  Mining
MGUO,Magnum Mining and Exploration Limited $0.05 Option Expiring 31-Oct-2025,Specialty Mining & Metals
MGU,Magnum Mining and Exploration Limited Ordinary,Specialty Mining & Metals
MGX,Mount Gibson Iron Limited Ordinary,Steel
MHC,Manhattan Corporation Limited Ordinary,Integrated  Mining
MHHT,Magellan High Conviction Trust (Managed Fund) ETF,Investment Trusts
MHG,Magellan Global Equities Fund Currency Hedged (Managed Fund) ETF,N/A
MHJ,Michael Hill International Limited Ordinary,Apparel & Accessories Retailers
MHI,Merchant House International Limited 1c Ordinary,Footwear
MHK,Metal Hawk Limited Ordinary,Integrated  Mining
MHOT,Vaneck Morningstar Wide Moat (AUD Hedged) ETF,N/A
MI6,Minerals 260 Limited Ordinary,Mining Support Services & Equipment
MICH,Magellan Infrastructure Fund (Currency Hedged)(Managed Fund) ETF,N/A
MIL,Millennium Services Group Limited Ordinary,Business Support Services
MIN,Mineral Resources Limited Ordinary,Integrated  Mining
MIO,Macarthur Minerals Limited Ordinary,Integrated  Mining
MIOO,Macarthur Minerals Limited $0.25 Option Expiring 27-Sep-2025,Integrated  Mining
MIR,Mirrabooka Investments Limited Ordinary,Investment Management & Fund Operators
MKAX,Montaka Global Extension Fund (Quoted Managed Hedge Fund) ETF,N/A
MKL,Mighty Kingdom Limited Ordinary,Software
MKG,Mako Gold Limited Ordinary,Gold
MKT,The Market Limited Ordinary,Online Services
MKR,Manuka Resources Ltd. Ordinary,Integrated  Mining
MLG,MLG OZ Limited Ordinary,Mining Support Services & Equipment
MLM,Metallica Minerals Limited Ordinary,Integrated  Mining
MLS,Metals Australia Ltd Ordinary,Integrated  Mining
MLX,Metals X Limited Ordinary,Integrated  Mining
MM1,Midas Minerals Ltd Ordinary,Integrated  Mining
MM8,Medallion Metals Limited Ordinary,Gold
MMC,Mitre Mining Corporation Limited Ordinary,Gold
MME,Moneyme Limited Ordinary,Consumer Lending
MMA,Maronan Metals Limited Ordinary,Integrated  Mining
MMI,Metro Mining Limited Ordinary,Aluminum
MMKT,BetaShares Australian. Cash Plus Fund (Managed Fund) ETF,N/A
MMM,Marley Spoon SE CDI 10:1,Food Retail & Distribution
MMR,MEC Resources Limited Ordinary,Oil & Gas Exploration and Production
MMS,McMillan Shakespeare Limited Ordinary,Consumer Lending
MNB,Minbos Resources Limited Ordinary,Agricultural Chemicals
MNRS,BetaShares Global Gold Miners ETF - Currency Hedged ETF,N/A
MND,Monadelphous Group Limited Ordinary,Construction & Engineering
MOAT,Vaneck Morningstar Wide Moat ETF,N/A
MOGL,Montaka Global Long Only Equities Fund (Managed Fund) ETF,N/A
MNS,Magnis Energy Technologies Ltd Ordinary,Specialty Mining & Metals
MOH,Moho Resources Limited Ordinary,Gold
MOT,Metrics Income Opportunities Trust Ordinary Units,Closed End Funds
MOV,Move Logistics Group Limited Ordinary Foreign Exempt NZX,N/A
MOM,Moab Minerals Limited Ordinary,Integrated  Mining
MOZG,Mosaic Brands Limited Convert Bond 8.0% 30-09-24 QLY SUB SEC T-09-22,Apparel & Accessories Retailers
MOZ,Mosaic Brands Limited Ordinary,Apparel & Accessories Retailers
MP1,Megaport Limited Ordinary,IT Services & Consulting
MPA,MAD Paws Holdings Limited Ordinary,Other Specialty Retailers
MPK,Many Peaks Minerals Ltd Ordinary,Gold
MPKO,Many Peaks Minerals Ltd $0.30 Option Expiring 14-Jun-2024,Gold
MPP,Metro Performance Glass Limited Ordinary Foreign Exempt NZX,Construction Supplies & Fixtures
MPL,Medibank Private Limited Ordinary,Life & Health Insurance
